key,owningOrganizationKey,numberOfOccurrences,rights,standard license,use,distribution,derivatives,commercial,attribution,share alike,notification
3caf2aad-a970-4905-872c-b4cd014f48bd,80c3ad34-82b5-457d-bb9b-1d6e1b84fae6,0,,,?,?,?,?,?,?,?
21934821-38c4-496f-a17b-e8dafd29eabf,3059a14b-7b43-41ce-beef-873999911dfe,409,,,?,?,?,?,?,?,?
2f58500b-b776-4fe6-b2b9-cbb32e8cd615,e3837372-dfa4-450c-af2f-ce7a91ce135c,766,,,?,?,?,?,?,?,?
59bf2c83-1e3c-40c8-9437-39ce3d3d462c,88dc5c67-b496-4dec-a361-3deee558a552,200,,,?,?,?,?,?,?,?
db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,7920,,,?,?,?,?,?,?,?
05d46db0-71db-42c0-b5cb-b81120093f1d,bd79995f-0fc1-4ce8-a6e6-8eb75be35e7d,3509,,,?,?,?,?,?,?,?
29886bf9-62d2-4208-87f6-109dd1972607,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,,,?,?,?,?,?,?,?
2c28a663-db16-48d3-9cd0-3c7ec8d8d873,46fec380-8e1d-11dd-8679-b8a03c50a862,88018,,,?,?,?,?,?,?,?
a639542a-654a-427b-9cf1-bde1953bbb52,46fec380-8e1d-11dd-8679-b8a03c50a862,84986,,,?,?,?,?,?,?,?
5a659248-1f70-11e3-b2c5-00145eb45e9a,23539a57-1347-4dd3-af2a-cf9478563baa,0,The use of the data is allowed only for non-profit scientific use and for non-profit nature conservation purpose.,,true,true,true,false,false,?,false
6c808b65-184a-4ec2-a658-d55d5e1f9ba5,fb10a11f-4417-41c8-be6a-13a5c8535122,849,,,?,?,?,?,?,?,?
76cc7230-76b6-4763-9caf-22626b29c0a6,1cd669d0-80ea-11de-a9d0-f1765f95f18b,0,,,?,?,?,?,?,?,?
96e5a2f0-d008-4136-955c-83cd139b23c6,85be57ed-f187-49c9-b7ff-eaa622e06217,624,"Esta [Chiropteros en el Parque Natural Regional El Vínculo y su zona de amortiguación (Buga, Valle del Cauca)] se hace disponible bajo la licencia Open Data Commons Attribution: http://www.opendatacommons.org/licenses/by/1.0/",http://opendatacommons.org/licenses/by/1.0/,true,true,true,true,true,false,false
e70580b8-b1df-4566-9a33-b32f30aab526,46fec380-8e1d-11dd-8679-b8a03c50a862,80784,,,?,?,?,?,?,?,?
34bcd3c8-5130-46ff-9000-1d4b44087aeb,a2f1c6f5-88de-4fc5-891a-336259f32f4e,1894,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
ee9c2798-1637-11e3-b987-00145eb45e9a,57254bd0-8256-11d8-b7ed-b8a03c50a862,0,,,?,?,?,?,?,?,?
63e5b784-13c3-11e3-bb65-00145eb45e9a,0674aea0-a7e1-11d8-9534-b8a03c50a862,18077,,,?,?,?,?,?,?,?
8b97e0ae-c803-4d24-8098-74874113c344,07f617d0-c688-11d8-bf62-b8a03c50a862,1262,,,?,?,?,?,?,?,?
91a7ba5f-1090-45f6-9e71-48b0bce5ab63,07f617d0-c688-11d8-bf62-b8a03c50a862,564,,,?,?,?,?,?,?,?
86653843-d46c-4924-9cbe-34737366a5b3,07f617d0-c688-11d8-bf62-b8a03c50a862,445,,,?,?,?,?,?,?,?
21448e32-117a-11e3-a753-00145eb45e9a,10980920-6dad-11da-ad13-b8a03c50a862,47496,,,?,?,?,?,?,?,?
c5da77b7-7423-49a4-a379-f423ea0f07b8,b542788f-0dc2-4a2b-b652-fceced449591,9614,http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
c68d6fdc-f921-47f3-95c6-ca9766280ad4,4bc4943a-c94f-4bd4-9aa3-2a9cae94398a,8069,Terms of use Ghana Herbarium data: all rights on this data file belong to the University of Ghana / Ghana Herbarium. Please contact the Herbarium data manager before secondary usage of data in electronic or printed form.,,false,false,false,false,?,?,?
4c7a13a5-72b1-41ff-ad7c-8af40d3cc3cc,46fec380-8e1d-11dd-8679-b8a03c50a862,285318,,,?,?,?,?,?,?,?
594e0bf8-d08c-4a69-9c76-1c620554e719,46fec380-8e1d-11dd-8679-b8a03c50a862,8706,,,?,?,?,?,?,?,?
b3c4e139-2305-4679-9379-cc898866ae65,b62390e0-0e35-11d9-8431-b8a03c50a862,2467,,,?,?,?,?,?,?,?
cc0e6535-6bb4-4703-a32c-077f5e1176cd,95cb537c-74c5-4c1e-ae24-32e7ea08f380,3772,,,?,?,?,?,?,?,?
69f0f5c2-08b9-11e3-ab1f-00145eb45e9a,33aecde5-7e13-4272-9cb7-f4f3b0eb820c,1054,,,?,?,?,?,?,?,?
6a122346-08b9-11e3-ab1f-00145eb45e9a,33aecde5-7e13-4272-9cb7-f4f3b0eb820c,54402,,,?,?,?,?,?,?,?
98442b0b-9f7b-4924-9289-5b793946ca01,bb922300-7ddb-11de-a300-90ac77aa923f,628,,,?,?,?,?,?,?,?
52a423d2-0486-4e77-bcee-6350d708d6ff,463555b0-d081-11da-ae8f-b8a03c50a862,0,,,?,?,?,?,?,?,?
f2f9bf0c-1c74-4be0-80b3-f688d8e6547f,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
cf241014-c763-4e35-9baa-9065828fab11,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
6a6c9b42-b9e2-4b50-8743-3b4e185564ac,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
e45d425d-2404-40a5-b784-3634adc76d08,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Esta [Listado de las Arañas de Colombia (Arachnida: Araneae)] se hace disponible bajo la licencia Open Data Commons Attribution: http://www.opendatacommons.org/licenses/by/1.0/,http://opendatacommons.org/licenses/by/1.0/,true,true,true,true,true,false,false
a7dcce0e-3aa1-487b-aac5-3e5142711306,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,,,?,?,?,?,?,?,?
4c881adf-82dc-4f31-aea9-20887ce7d7c9,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
a6192000-74f3-47d5-89cf-ac39cc6eac00,37e82b90-1e21-11de-ab90-f72009d2669b,0,This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
99f7df58-b668-4c3a-a7ef-dd30b698084c,37e82b90-1e21-11de-ab90-f72009d2669b,0,,,?,?,?,?,?,?,?
d52d01f6-7472-4dbf-9ea8-a33c343255ac,8e1a7b73-e746-4d20-a0ba-e647ce0f9784,1116766,,,?,?,?,?,?,?,?
55a6d696-082c-4dbb-9eba-214ef8476d0d,d4beb51b-b7cc-419e-b943-0e5254aac3ef,0,,,?,?,?,?,?,?,?
66bcca47-4aac-4e37-910c-3de73bd61072,d4beb51b-b7cc-419e-b943-0e5254aac3ef,0,,,?,?,?,?,?,?,?
5bc6a489-e74f-45b9-935c-66ed313a3c39,d4beb51b-b7cc-419e-b943-0e5254aac3ef,0,,,?,?,?,?,?,?,?
