"#dataset-key","rights"
9dbb55ce-0b38-4468-9172-40c8481edd2a,not supplied
7bb2d451-5ffa-4d58-bc7f-19ea7aecb201,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.
e6d20998-59b1-4032-b4d1-bfe35671be54,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.
7a28b1b1-9d4c-4aeb-b239-38865417b5ea,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.
4300f8d5-1ae5-49e5-a101-63894b005868,This [DATA(BASE)-NAME] is made available under the Open Data Commons Attribution License: http://www.opendatacommons.org/licenses/by/1.0/.
dbfacc33-350a-4620-976f-4d3a441aa242,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
cce1c58a-880b-4b93-acc7-98c9b85900cd,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
c690c2b5-8002-4d12-831c-9258dd618f78,"Use of the data for commercial or for-profit applications are permitted only via written permission from Instituto de Investigação Científica Tropical. Data are provided to users, but should not be passed on to third parties or redistributed. It is explicitly forbidden to incorporate these data into other databases of free or restricted access."
231c5bcf-1b56-4905-a398-6d0e18f6de1a,"Use of the data for commercial or for-profit applications are permitted only via written permission from Instituto de Investigação Científica Tropical. Data are provided to users, but should not be passed on to third parties or redistributed. It is explicitly forbidden to incorporate these data into other databases of free or restricted access."
c2139479-1a23-4050-94fe-ee2424a88fdf,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
d922f0cd-fae6-4600-8daa-2b41bb4f76ad,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
8eddc200-f535-4c65-9b4d-f723eafe607e,"PSM data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the PSM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the PSM notified. The James R. Slater Museum of Natural History or its staff is not responsible for damages, injury or loss due to the use of these data."
9c45867f-f77d-42f3-9751-ae16bb7c9bc8,http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms
7329dbf2-8c75-41be-a3a0-0cd0a368eb26,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
fabf30b1-75fe-44fe-b386-3c7ea2d94f10,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
e6c97f6e-e952-11e2-961f-00145eb45e9a,(see website)
ad0d1a24-e952-11e2-961f-00145eb45e9a,not supplied
d44f84b0-e947-11e2-961f-00145eb45e9a,not supplied
b4e21aec-30ff-4867-8503-2bf8de3a4fe7,not supplied
a4ce2bbc-06ea-45d0-bfd8-41138d37a693,not supplied
1eaf5f7a-8f76-43eb-82f3-44979a433f0e,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.
3b823447-b6b3-4424-80ae-643e877a1c8d,not supplied
3f0bfe27-b8d7-459e-8b83-1abc57aa669c,not supplied
75aa09b1-5991-4db9-8d17-014620145c23,not supplied
fe2e460e-c925-47f8-ae05-1c8a9a349aa8,not supplied
