key,owningOrganizationKey,numberOfOccurrences,rights,standard license,use,distribution,derivatives,commercial,attribution,share alike,notification
f3f10afc-257f-47ef-8b0c-4bcaebdc09dc,85be57ed-f187-49c9-b7ff-eaa622e06217,0,not supplied,false,?,?,?,?,?,?,?
2c28a663-db16-48d3-9cd0-3c7ec8d8d873,46fec380-8e1d-11dd-8679-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
a639542a-654a-427b-9cf1-bde1953bbb52,46fec380-8e1d-11dd-8679-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
5a659248-1f70-11e3-b2c5-00145eb45e9a,23539a57-1347-4dd3-af2a-cf9478563baa,0,The use of the data is allowed only for non-profit scientific use and for non-profit nature conservation purpose.,false,true,true,true,false,false,?,false
6c808b65-184a-4ec2-a658-d55d5e1f9ba5,fb10a11f-4417-41c8-be6a-13a5c8535122,0,not supplied,false,?,?,?,?,?,?,?
90e99b1e-6ae4-4577-9679-ba4603e24f5c,85be57ed-f187-49c9-b7ff-eaa622e06217,0,not supplied,false,?,?,?,?,?,?,?
76cc7230-76b6-4763-9caf-22626b29c0a6,1cd669d0-80ea-11de-a9d0-f1765f95f18b,0,not supplied,false,?,?,?,?,?,?,?
96e5a2f0-d008-4136-955c-83cd139b23c6,85be57ed-f187-49c9-b7ff-eaa622e06217,624,"Esta [Chiropteros en el Parque Natural Regional El Vínculo y su zona de amortiguación (Buga, Valle del Cauca)] se hace disponible bajo la licencia Open Data Commons Attribution: http://www.opendatacommons.org/licenses/by/1.0/",true,true,true,true,true,true,false,false
e70580b8-b1df-4566-9a33-b32f30aab526,46fec380-8e1d-11dd-8679-b8a03c50a862,80784,not supplied,false,?,?,?,?,?,?,?
34bcd3c8-5130-46ff-9000-1d4b44087aeb,a2f1c6f5-88de-4fc5-891a-336259f32f4e,1894,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
ee9c2798-1637-11e3-b987-00145eb45e9a,57254bd0-8256-11d8-b7ed-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
63e5b784-13c3-11e3-bb65-00145eb45e9a,0674aea0-a7e1-11d8-9534-b8a03c50a862,18077,not supplied,false,?,?,?,?,?,?,?
8b97e0ae-c803-4d24-8098-74874113c344,07f617d0-c688-11d8-bf62-b8a03c50a862,1262,not supplied,false,?,?,?,?,?,?,?
91a7ba5f-1090-45f6-9e71-48b0bce5ab63,07f617d0-c688-11d8-bf62-b8a03c50a862,564,not supplied,false,?,?,?,?,?,?,?
86653843-d46c-4924-9cbe-34737366a5b3,07f617d0-c688-11d8-bf62-b8a03c50a862,445,not supplied,false,?,?,?,?,?,?,?
21448e32-117a-11e3-a753-00145eb45e9a,10980920-6dad-11da-ad13-b8a03c50a862,47496,not supplied,false,?,?,?,?,?,?,?
c5da77b7-7423-49a4-a379-f423ea0f07b8,b542788f-0dc2-4a2b-b652-fceced449591,9614,http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms,true,true,true,true,true,false,false,false
c68d6fdc-f921-47f3-95c6-ca9766280ad4,4bc4943a-c94f-4bd4-9aa3-2a9cae94398a,8069,Terms of use Ghana Herbarium data: all rights on this data file belong to the University of Ghana / Ghana Herbarium. Please contact the Herbarium data manager before secondary usage of data in electronic or printed form.,false,false,false,false,false,?,?,?
4c7a13a5-72b1-41ff-ad7c-8af40d3cc3cc,46fec380-8e1d-11dd-8679-b8a03c50a862,285318,not supplied,false,?,?,?,?,?,?,?
